gene_name,gene_code,predicted_cluster
ATG3,ENSG00000144848,28
NAA50,ENSG00000121579,49
ATP6V1A,ENSG00000114573,-1
COX17,ENSG00000138495,-1
GSK3B,ENSG00000082701,-1
NDUFB4,ENSG00000065518,-1
GTF2E1,ENSG00000153767,-1
GOLGB1,ENSG00000173230,42
CCDC58,ENSG00000160124,28
FAM162A,ENSG00000114023,-1
CCDC14,ENSG00000175455,-1
UMPS,ENSG00000114491,51
SNX4,ENSG00000114520,-1
MCM2,ENSG00000073111,32
PODXL2,ENSG00000114631,51
SEC61A1,ENSG00000058262,3
RUVBL1,ENSG00000175792,-1
EEFSEC,ENSG00000132394,-1
GATA2,ENSG00000179348,-1
RPN1,ENSG00000163902,-1
CNBP,ENSG00000169714,27
H1FX,ENSG00000184897,-1
MRPL3,ENSG00000114686,-1
UBA5,ENSG00000081307,-1
CDV3,ENSG00000091527,36
SRPRB,ENSG00000144867,39
ANAPC13,ENSG00000129055,-1
SLC35G2,ENSG00000168917,39
DBR1,ENSG00000138231,44
PIK3CB,ENSG00000051382,10
MRPS22,ENSG00000175110,28
ZBTB38,ENSG00000177311,-1
RNF7,ENSG00000114125,-1
ATP1B3,ENSG00000069849,-1
TFDP2,ENSG00000114126,-1
ATR,ENSG00000175054,-1
U2SURP,ENSG00000163714,-1
CHST2,ENSG00000175040,-1
PLOD2,ENSG00000152952,-1
GYG1,ENSG00000163754,39
HLTF,ENSG00000071794,-1
SERP1,ENSG00000120742,3
MBNL1,ENSG00000152601,-1
DHX36,ENSG00000174953,-1
GMPS,ENSG00000163655,49
SSR3,ENSG00000114850,3
CCNL1,ENSG00000163660,-1
RSRC1,ENSG00000174891,-1
GFM1,ENSG00000168827,-1
KPNA4,ENSG00000186432,26
NMD3,ENSG00000169251,39
GOLIM4,ENSG00000173905,-1
SEC62,ENSG00000008952,43
PRKCI,ENSG00000163558,-1
SKIL,ENSG00000136603,-1
RPL22L1,ENSG00000163584,-1
TNIK,ENSG00000154310,-1
TNFSF10,ENSG00000121858,14
ZMAT3,ENSG00000172667,43
ACTL6A,ENSG00000136518,-1
MRPL47,ENSG00000136522,-1
NDUFB5,ENSG00000136521,-1
DNAJC19,ENSG00000205981,-1
ATP11B,ENSG00000058063,-1
YEATS2,ENSG00000163872,39
EIF2B5,ENSG00000145191,-1
AP2M1,ENSG00000161203,-1
PSMD2,ENSG00000175166,8
EIF4G1,ENSG00000114867,32
POLR2H,ENSG00000163882,32
TRA2B,ENSG00000136527,-1
DNAJB11,ENSG00000090520,3
EIF4A2,ENSG00000156976,-1
RFC4,ENSG00000163918,9
RPL39L,ENSG00000163923,-1
OPA1,ENSG00000198836,-1
LSG1,ENSG00000041802,-1
TFRC,ENSG00000072274,-1
PCYT1A,ENSG00000161217,-1
RNF168,ENSG00000163961,42
PAK2,ENSG00000180370,10
SENP5,ENSG00000119231,-1
NCBP2,ENSG00000114503,-1
DLG1,ENSG00000075711,46
RPL35A,ENSG00000182899,5
ZNF595,ENSG00000272602,6
ATP5ME,ENSG00000169020,13
CTBP1,ENSG00000159692,39
SLBP,ENSG00000163950,32
LETM1,ENSG00000168924,-1
NSD2,ENSG00000109685,19
NELFA,ENSG00000185049,-1
C4orf48,ENSG00000243449,-1
MXD4,ENSG00000123933,-1
